sorter,arrangement,size,median_nanos
QuickSortRecursiveHoare,DESC,8000,59546400
QuickSortRecursiveHoare,DESC,9000,72408300
QuickSortRecursiveHoare,DESC,10000,75545700
QuickSortRecursiveHoare,DESC,11000,81563500
QuickSortRecursiveHoare,DESC,12000,95277600
QuickSortRecursiveHoare,DESC,13000,103543000
QuickSortRecursiveHoare,DESC,14000,136127400
QuickSortRecursiveHoare,DESC,15000,168756100
QuickSortRecursiveHoare,DESC,16000,197804600
QuickSortRecursiveHoare,DESC,17000,220568600
QuickSortRecursiveHoare,DESC,18000,219381000
QuickSortRecursiveHoare,DESC,19000,275766900
QuickSortRecursiveHoare,DESC,20000,254072800
QuickSortRecursiveLomuto,ASC,0,300
QuickSortRecursiveLomuto,ASC,1000,2276600
QuickSortRecursiveLomuto,ASC,2000,1366700
QuickSortRecursiveLomuto,ASC,3000,3096600
QuickSortRecursiveLomuto,ASC,4000,5578600
QuickSortRecursiveLomuto,ASC,5000,8690300
QuickSortRecursiveLomuto,ASC,6000,12843400
QuickSortRecursiveLomuto,ASC,7000,17350700
QuickSortRecursiveLomuto,ASC,8000,21881100
QuickSortRecursiveLomuto,ASC,9000,27462700
QuickSortRecursiveLomuto,ASC,10000,34376200
QuickSortRecursiveLomuto,ASC,11000,40135300
QuickSortRecursiveLomuto,ASC,12000,48626500
QuickSortRecursiveLomuto,ASC,13000,56450700
QuickSortRecursiveLomuto,ASC,14000,64922200
